Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
CHWPT Trust (Charter Hall),2024-10-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
mBank S.A.,2024-09-01,EUR 500m,557805000,6 years,Poland,Solar  Wind  Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/report-mBank-2024.pdf,-
Rural Electrification Corporation Limited (REC),2024-09-01,USD 500m,500000000,5 years,India,Low Carbon Transport,KPMG India,/files/drupal-files/files/REC2023_Pre issuance assurance statement.pdf,-
humm ABS Aurora Trust (Humm Group Limited (formerly known as FlexiGroup)),2024-09-01,AUD 123.64m,85610067,7 years,Australia,Solar,DNV,/files/drupal-files/files/humm_report_2024.pdf,-
Queensland Treasury Corporation,2024-09-01,AUD 52m,35677668,6 years and 6 months,Australia,Forestry  Low Carbon Transport  Solar  Grids  Water  Wind,DNV,/files/drupal-files/files/report-qtc-2023.pdf,-
Queensland Treasury Corporation,2024-09-01,AUD 101m,69297009,7 years and 6 months,Australia,Forestry  Low Carbon Transport  Solar  Grids  Water  Wind,DNV,/files/drupal-files/files/report-qtc-2023.pdf,-
Green Infra Clean Wind Farms Limited (Sembcorp),2024-09-01,confidential,,,India,Solar  Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Societe des Grands Projets,2024-09-01,EUR 1bn,1102990000,20 years and 8 months,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Mirvac Group Finance Ltd,2024-08-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
National Australia Bank,2024-08-01,EUR 1.25bn,1391912500,5 years and 6 months,Australia,ForestryGeothermalHydropowerLow Carbon TransportLow Carbon Buildings (commercial)  Marine renewables  Solar  Grids  Water  Wind,DNV,/files/drupal-files/files/report-nab-2023.pdf,-
Japan Railway Construction  Transport and Technology Agency,2024-08-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Prado Power Energy Solutions Limited,2024-08-01,NGN 1.95bn,1226121,7 years,Nigeria,Solar,Agusto,/files/drupal-files/files/report-prado.pdf,-
Powerco Limited,2024-08-01,NZD 50m,30090950,1.5 years,New Zealand,Electrical Grids and Storage,EY,/files/drupal-files/files/report-powerco-public.pdf,-
Powerco Limited,2024-08-01,NZD 50m,30090950,2 years,New Zealand,Electrical Grids and Storage,EY,/files/drupal-files/files/report-powerco-public.pdf,-
San Francisco Public Utilities Commission,2024-07-01,USD 431.11m,431110000,3 years and 2 months,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
San Francisco Public Utilities Commission,2024-07-01,USD 539.72m,539720000,30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2024-07-01,USD 388.505m,388505000,35 years and 4 months,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Powerco Limited,2024-07-01,NZD 300m,182308200,7 years,New Zealand,Electrical Grids and Storage,EY,/files/drupal-files/files/report-powerco-public.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2024-07-01,USD 770.105m,770105000,15 years and 4 months,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Origo Energia (Petrolina PE 548 Geracao de Energia 915 Ltda),2024-06-01,confidential,,,Brazil,Solar,ERM,,-
Firstmac Limited,2024-06-01,AUD 306m,203781312,31 years,Australia,Low Carbon Buildings  (Residential),DNV,/files/drupal-files/files/report-Firstmac-2.pdf,-
Yarrow Infrastructure Private Limited (Sembcorp),2024-06-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Bay Area Toll Authority (BATA),2024-06-01,USD 250m,250000000,up to 21 years,United States,Low Carbon Transport  Shipping,Kestrel,/files/drupal-files/files/www.climatebonds.netreport-BATA.pdf,-
Brookfield,2024-06-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Huadian New Energy Group Corporation Limited,2024-06-01,RMB 2bn,275564000,Every five years after issuance (Perpetual Bond),China,Solar  Wind,iGreenBank,/files/drupal-files/files/4PRE-I_1.PDF,-
Jiangxi Provincial Investment Group Co.  Ltd.,2024-06-01,RMB 200m,27572800,,China,Solar  Wind,China Lianhe Equator,/files/drupal-files/files/Jiangxi_Pre-issuance_report.pdf,-
Bonneville Power Administration (BPA) / Port of Morrow,2024-06-01,USD 76.01m,76010000,6 years; 7 years; 8 years,United States,Electrical Grids and Storage,Kestrel,/files/drupal-files/files/BPA_pre-issuance-report.pdf,-
Brighte Capital,2024-06-01,AUD 170.2m,113085986,1.9 to 3.8 years,Australia,Low Carbon Transport  Solar,DNV,/files/drupal-files/files/report-Brighte-5.pdf,-
Japan Railway Construction  Transport and Technology Agency,2024-05-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Banco Popular Dominicano,2024-05-01,DOP 300m,5033640,10 years,Dominican Republic,Solar  Wind,Pacific Corporate Sustainability,/files/drupal-files/files/BPD_Pre-issuance_report.pdf,-
Huadian New Energy Group Corporation Limited,2024-05-01,RMB 2bn,276088000,Every five years after issuance (Perpetual Bond),China,Solar  Wind,iGreenBank,/files/drupal-files/files/4PRE-I_1.PDF,-
Intellihub Limited,2024-05-01,confidential,,,New Zealand,Electrical Grids and Storage,EY Australia,,-
Intellihub Holdings Pty Ltd,2024-05-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Intellihub Holdings Pty Ltd,2024-05-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Intellihub Holdings Pty Ltd,2024-05-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
SA Power Networks,2024-05-01,AUD 495m,327760290,3 years; 8 years and 6 months,Australia,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/sapower_Pre-issuance_report.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2024-05-01,USD 591.8m,591785000,7 years; 21 years; 22 years; 19 years and 6 months; 30 years,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
FleetPartners Pty Limited,2024-05-01,AUD 75m,49595325,10 years and 5 months,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/fleetpartners_pre-issuance-report.pdf,-
Milwaukee Metropolitan Sewerage District,2024-05-01,USD 90m,90000000,5 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
FundCo Capital Managers Limited (Clean Energy Local Currency Fund),2024-05-01,NGN 3318.52m,2398659,,Nigeria,Solar,Rubicola,/files/drupal-files/files/report-fundco.pdf,-
SNCF SA,2024-04-01,EUR 50m,53218000,6 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
SNCF SA,2024-04-01,CHF 50m,54766500,14 years and 10 months,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
GPT Wholesale Office Fund,2024-04-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
SNCF SA,2024-04-01,EUR 35m,37563400,25 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
SNCF SA,2024-04-01,EUR 50m,54208000,3 years and 7 months,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2024-04-01,USD 1.28926bn,1289260000,25 years and 8 months,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
GPT Wholesale Office Fund,2024-04-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
Sembcorp Financial Services Pte. Ltd.,2024-03-01,confidential,,,Singapore,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
humm ABS Aurora Trust (Humm Group Limited (formerly known as FlexiGroup)),2024-03-01,AUD 185m,121401255,6 years 6 months,Australia,Solar,DNV,/files/drupal-files/files/humm11_Pre-issuance_report.pdf,-
Japan Railway Construction  Transport and Technology Agency,2024-03-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Charter Hall DVP2 Chifley Investment Trust,2024-03-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Sembcorp Green Infra Private Limited,2024-03-01,confidential,,,India,Solar  Wind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Huadian New Energy Group Corporation Limited,2024-03-01,RMB 2bn,277694000,3 years,China,Solar  Wind,iGreenBank,/files/drupal-files/files/4PRE-I_1.PDF,-
Meridian Energy,2024-03-01,NZD 300m,181439400,6 years,New Zealand,Wind,DNV,/files/drupal-files/files/meridian energy_Pre issuance assurance statement.pdf,-
Transpower New Zealand Limited,2024-03-01,CHF 150m,170929500,7 years,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
SNCF SA,2024-03-01,EUR 1bn,1093290000,10 years 2 months,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Barclays PLC,2024-03-01,EUR 67m,73283930,7 years 2 months,United Kingdom,Low carbon buildings (residential)  marine renewable  solar  wind,ISS ESG,/files/drupal-files/files/Barclays-220913.pdf,-
Vadodara Municipal Corporation,2024-03-01,INR 1000 mn,12061200,5 years,India,Water Infrastructure,DNV,/files/drupal-files/files/report-DNV-VMC-for-upload.pdf,-
Government of Japan,2024-02-01,JPY 799800mn,5316966426,5 years,Japan,Transport  Buildings  Grids  R&D,Japan Credit Rating Agency,/files/drupal-files/files/jcr_Pre_Issuance_Verification_Report_eng.pdf,-
Japan Railway Construction  Transport and Technology Agency,2024-02-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Plenti Group Limited,2024-02-01,AUD 87m,58000000,11 years,Australia,Solar,DNV,/files/drupal-files/files/report-Plenti-3.pdf,-
Government of Japan,2024-02-01,JPY 799500m,5310119100,10 years,Japan,Transport  Buildings  Grids  R&D,Japan Credit Rating Agency,/files/drupal-files/files/jcr_Pre_Issuance_Verification_Report_eng.pdf,-
SNCF SA,2024-02-01,CHF 100m,116100000,15 years,France,Low carbon transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Societe des Grands Projets,2024-02-01,EUR 1bn,1075550000,25 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Queensland Treasury Corporation,2024-02-01,AUD 2.75bn,1801020000,10 years,Australia,Low Carbon TransportSolarWater Infrastructure,DNV,/files/drupal-files/files/230516_DNV_CBI_report.pdf,-
GPT Wholesale Office Fund,2024-01-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
ACOB Solar Hybrid Mini Grids 1 Limited (ACOB Lighting Technology Limited),2024-01-01,NGN 1510mn,1676311,7 years,Nigeria,Solar,Agusto,/files/drupal-files/files/pre-issuance-verification-report-acob.pdf,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2024-01-01,USD 296.34m,296340000,30 years and 4 months,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Barclays PLC,2024-01-01,CNH 120m,16000000,3 years,United Kingdom,Low carbon buildings (residential)  marine renewable  solar  wind,ISS ESG,/files/drupal-files/files/Barclays-220913.pdf,-
Energie Baden-Wurttemberg (EnBW),2024-01-01,EUR 500m,544000000,60 years,Germany,Marine Renewable Energy,ISS ESG,/files/drupal-files/files/231114_EnBW_ISS_report.pdf,-
Barclays PLC,2024-01-01,PLN 30m,7400000,7 years,United Kingdom,Low carbon buildings (residential)  marine renewable  solar  wind,ISS ESG,/files/drupal-files/files/Barclays-220913.pdf,-
Barclays PLC,2024-01-01,CZK 120m,5200000,4 years,United Kingdom,Low carbon buildings (residential)  marine renewable  solar  wind,ISS ESG,/files/drupal-files/files/Barclays-220913.pdf,-
Rural Electrification Corporation Limited (REC),2024-01-01,JPY 61100m,412747608,5 years  5 years and 3 months  10 years,India,Low Carbon Transport,KPMG India,/files/drupal-files/files/REC2023_Pre issuance assurance statement.pdf,-
Brisbane Square Wholesale Fund (Charter Hall),2024-01-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
SNCF SA,2024-01-01,EUR 75m,82000000,3 years,France,Low carbon transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2024-01-01,BRL 868m,178754184,5 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Charter Hall Richmond Investment Trust,2024-01-01,confidential,,,Australia,Low Carbon Buildings (Commercial),Sustainalytics,,-
Development Bank of Kazakhstan JSC,2023-12-01,KZT 6865m,15000000,1 year,Kazakhstan,SolarWind,AIFC,/files/drupal-files/files/Kdb_Pre issuance assurance statement.pdf,-
AGL Energy Limited,2023-12-01,confidential,,,Australia,Electrical Grids and Storage,EY Australia,,-
Nova Power  LLC,2023-12-01,confidential,,8 years,United States,Electrical Grids and Storage,DNV,/files/drupal-files/files/Nova power_Pre issuance assurance statement.pdf,-
New York Metropolitan Transportation Authority (Empire State Development),2023-12-01,USD 489m,489145000,39 years and 3 months,United States,Low carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Banco de Desarrollo Productivo - Sociedad Anónima Mixta (BDP - S.A.M. or BDP-SAM),2023-12-01,Bs 102.9m,14507254,3 years  5 years  and 8 years,Bolivia,Solar,Pacific Corporate Sustainability,/files/drupal-files/files/report-BDP_SAM-2025.pdf,-
Canberra Metro,2023-12-01,confidential,,confidential,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/Canberra_Pre issuance assurance statement23.pdf,-
Brookfield,2023-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Canberra Metro,2023-12-01,confidential,,confidential,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/Canberra_Pre issuance assurance statement23.pdf,-
FS Agrisolutions Industria de Biocombustiveis Ltda,2023-12-01,BRL 1bn,201698000,5 years,Brazil,Bioenergy,Sustainalytics,/files/drupal-files/files/FS-Agrisolutions-Industria-de-Biocombustiveis-Ltda_Pre issuance assurance statement.pdf,-
Winsol Solar Fields (Polepally) Pvt. Ltd. (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Hindupur Solar Park Private Limited (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Mahabubnagar Solar Parks Private Limited (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Polepally Solar Parks Private Limited (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Vector Green Sunshine Private Limited (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Vector Green Surya Urja Private Limited (Sembcorp),2023-12-01,confidential,,,India,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Stockland Capital Partners Limited As Trustee For The M Park Trust,2023-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/stockland_Pre issuance assurance statement.pdf,-
Charter Hall Richmond Investment Trust,2023-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),Sustainalytics,,-
ENGIE Southern Africa (Pty) Ltd,2023-11-01,ZAR 1.99bn,107099435,,South Africa,Solar,IBIS Consulting,/files/drupal-files/files/Engie_pre-issuance-report.pdf,-
Japan Railway Construction  Transport and Technology Agency,2023-11-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Weifang Tianen Binhai New Energy Co.  Ltd.,2023-11-01,confidential,,,Singapore,Solar,EY Singapore,,-
Weifang Bohai Bay Photovoltaic Technology Co.  Ltd,2023-11-01,confidential,,,Singapore,Solar,EY Singapore,,-
Energie Baden-Wurttemberg (EnBW),2023-11-01,EUR 850m,930000000,11 years,Germany,Low-carbon transportMarine Renewable EnergySolarelectrical grids and storagewind,ISS ESG,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Contact Energy Limited,2023-11-01,confidential,,,New Zealand,Geothermal,EY,,-
Aliança Geração de Energia S.A.,2023-11-01,BRL 340m,67200000,14 years,Brazil,wind,NINT,/files/drupal-files/files/alianca22_Pre issuance assurance statement.pdf,-
humm ABS Trust 2023-1 (Humm Group Limited (formerly known as FlexiGroup)),2023-11-01,AUD 89.71,57000000,5 years,Australia,Solar,DNV,/files/drupal-files/files/humm23_Pre issuance assurance statement.pdf,-
New South Wales Treasury Corporation,2023-11-01,AUD 600m,380878800,7 years,Australia,Low Carbon Transport,EY Australia,/files/drupal-files/files/TCorp Pre Issuance Assurance Statement PUBLIC.pdf,-
First Sentier Investors,2023-10-01,confidential,,,Australia,Solar,DNV,,-
Indi Southbank (ICPF Finance Pty Ltd) (Investa),2023-10-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
UniLeasing  Inc.,2023-10-01,USD 10m,10000000,8 years,Panama,Low carbon transportSolar,Pacific Corporate Sustainability,/files/drupal-files/files/unileasing_Pre issuance assurance statement.pdf,-
City of Santa Clara,2023-10-01,USD 34.5m,34585000,26 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/city of santa clara_Pre issuance assurance statement.pdf,-
GPT Wholesale Office Fund,2023-10-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2023-10-01,USD 1.1 bn,1130200000,19 years,United States,Low carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Opea Securitizadora S.A.,2023-10-01,BRL 150m,29627250,6 years,Brazil,Agriculture,NINT,/files/drupal-files/files/opea_Pre issuance assurance statement.pdf,-
SNCF SA,2023-10-01,EUR 250m,264000000,4 years,France,Low carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
reNIKOLA Solar II Sdn Bhd,2023-09-01,MYR 390m,83000000,18 years,Malaysia,Solar,RAM Sustainability,/files/drupal-files/files/renikola-verification.pdf,-
Sembcorp Financial Services Pte. Ltd.,2023-09-01,confidential,,,Singapore,SolarWind,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
Energy Absolute Public Company Limited,2023-09-01,THB 10bn,267694178,5 years,Thailand,Low carbon Transport,DNV,/files/drupal-files/files/2023energy-absolute_pre-issuance-verification.pdf,-
SNCF SA,2023-09-01,AUD 55m,35000000,13 years,France,Low carbon transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
NZGIF Solar Investments Limited,2023-09-01,confidential,,,New Zealand,Solar,ISS ESG,/files/drupal-files/files/nzgif-verification.pdf,-
Transpower New Zealand Limited,2023-09-01,NZD 200m,118000000,3 years,New Zealand,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/Transpower New Zealand Limited_Pre issuance assurance statement.pdf,-
Huadian New Energy Group Corporation Limited,2023-09-01,RMB 2bn,274530000,2 years,China,Solar  Wind,iGreenBank,/files/drupal-files/files/4PRE-I_1.PDF,-
mBank S.A.,2023-09-01,EUR 750m,802372500,4 years,Poland,Wind  Solar  Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/_Pre issuance assurance statement mbank 2023.pdf,-
Brighte Capital,2023-08-01,AUD 200m,128988200,9 years,Australia,Low Carbon TransportSolar,DNV,/files/drupal-files/files/_Pre issuance assurance statement brighte 2023.pdf,-
Japan Railway Construction  Transport and Technology Agency,2023-08-01,confidential,,,Japan,Low carbon Transport,DNV,,-
Parque Eolico Toabre  S.A.,2023-08-01,USD 125m,125000000,10 years,Panama,wind,Pacific Corporate Sustainability,/files/drupal-files/files/pet_Pre issuance assurance statement.pdf,-
One Qube Realtors  Private Limited (Nucleus Office Parks),2023-08-01,INR  4bn,48121600,3 years,India,Low Carbon Buildings (Commercial),Emergent Ventures India,/files/drupal-files/files/Assurance Report (One Qube).pdf,-
San Francisco Public Utilities Commission,2023-08-01,USD 486m,486000000,24 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
Sembcorp Financial Services Pte. Ltd.,2023-08-01,confidential,,,Singapore,Solar,EY Singapore,/files/drupal-files/files/Sembcorp financial services pte ltd_Pre issuance assurance statement.pdf,-
GREEN INFRA WIND ENERGY LIMITED,2023-08-01,confidential,,,Singapore,Wind,EY Singapore,,-
Hybar LLC,2023-07-01,USD 330m,330000000,25 years,United States,Steel,Kestrel,/files/drupal-files/files/hybar_Pre issuance assurance statement.pdf,-
SSH Solar Energy Ltd,2023-07-01,EUR 5m,5614320,5 years,Cyprus,Solar,IENE,/files/drupal-files/files/ssh_Pre issuance assurance statement.pdf,-
Abu Dhabi Future Energy Company PJSC - Masdar,2023-07-01,USD 750m,750000000,,UAE,SolarWind,EY,/files/drupal-files/files/masdar_Pre issuance assurance statement.pdf,-
Streem Holding SAS (formerly Ermewa),2023-07-01,confidential,,,France,Low Carbon Transport,Sustainalytics,,-
New York Metropolitan Transportation Authority (Triborough Bridge and Tunnel Authority),2023-07-01,USD 600m,600000000,10 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
SNCF SA,2023-07-01,EUR 300m,327111000,12 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
